 	Label	Area	X	Y	Division
1	Pos001CFP-2.tif:0001-0352-0191:1	481	191.381	352.321	0
2	Pos001CFP-2.tif:0002-0340-0190:2	414	189.597	340.348	0
3	Pos001CFP-2.tif:0003-0325-0168:3	410	167.944	324.573	1
4	Pos001CFP-2.tif:0004-0335-0182:4	207	181.104	334.877	0
5	Pos001CFP-2.tif:0005-0332-0187:5	271	186.659	332.319	0
6	Pos001CFP-2.tif:0006-0333-0183:6	271	182.755	333.293	0
7	Pos001CFP-2.tif:0007-0334-0181:7	331	180.500	333.446	0
8	Pos001CFP-2.tif:0008-0333-0186:8	325	184.125	332.214	0
9	Pos001CFP-2.tif:0009-0334-0183:9	354	183.915	333.243	0
10	Pos001CFP-2.tif:0010-0336-0187:10	432	187.627	335.759	0
11	Pos001CFP-2.tif:0011-0340-0191:11	445	191.473	339.235	0
12	Pos001CFP-2.tif:0012-0346-0197:12	450	197.471	345.144	0
13	Pos001CFP-2.tif:0013-0350-0204:13	470	204.151	349.730	0
14	Pos001CFP-2.tif:0014-0350-0208:14	466	208.227	349.410	0
15	Pos001CFP-2.tif:0015-0348-0210:15	464	210.112	347.101	0
16	Pos001CFP-2.tif:0016-0352-0215:16	456	215.730	351.965	0
17	Pos001CFP-2.tif:0017-0351-0219:17	332	219.012	349.762	0
18	Pos001CFP-2.tif:0018-0348-0227:18	466	227.483	347.335	0
19	Pos001CFP-2.tif:0019-0347-0234:19	477	234.687	347.135	0
20	Pos001CFP-2.tif:0020-0341-0254:20	386	253.881	340.959	0
21	Pos001CFP-2.tif:0021-0337-0270:21	331	269.282	336.808	0
22	Pos001CFP-2.tif:0022-0323-0284:22	389	282.510	324.238	0
23	Pos001CFP-2.tif:0023-0300-0301:23	334	302.395	299.473	0
24	Pos001CFP-2.tif:0024-0279-0308:24	370	308.968	278.724	0
25	Pos001CFP-2.tif:0025-0254-0307:25	401	307.363	254.515	0
26	Pos001CFP-2.tif:0026-0234-0302:26	373	302.151	235.149	0
27	Pos001CFP-2.tif:0027-0229-0299:27	400	298.663	228.410	0
28	Pos001CFP-2.tif:0028-0192-0286:28	347	285.684	192.059	0
29	Pos001CFP-2.tif:0029-0178-0280:29	331	279.917	177.751	0
30	Pos001CFP-2.tif:0030-0171-0272:30	286	272.486	172.007	0
31	Pos001CFP-2.tif:0031-0172-0279:31	365	279.141	171.867	0
32	Pos001CFP-2.tif:0032-0173-0284:32	206	282.563	173.398	0
33	Pos001CFP-2.tif:0033-0165-0283:33	222	282.360	165.631	0
34	Pos001CFP-2.tif:0034-0151-0275:34	326	275.258	151.813	0
35	Pos001CFP-2.tif:0035-0138-0270:35	408	270.703	137.794	0
36	Pos001CFP-2.tif:0036-0123-0251:36	390	251.977	122.833	0
37	Pos001CFP-2.tif:0037-0116-0222:37	375	222.671	116.796	0
38	Pos001CFP-2.tif:0038-0116-0212:38	403	212.862	117.371	0
39	Pos001CFP-2.tif:0039-0122-0198:39	404	198.985	123.399	0
40	Pos001CFP-2.tif:0040-0123-0166:40	330	166.612	123.648	0
41	Pos001CFP-2.tif:0041-0138-0147:41	340	147.868	137.818	0
42	Pos001CFP-2.tif:0042-0146-0137:42	380	137.566	146.195	0
43	Pos001CFP-2.tif:0043-0148-0133:43	395	133.338	147.639	0
44	Pos001CFP-2.tif:0044-0151-0127:44	383	127.779	151.142	0
45	Pos001CFP-2.tif:0045-0157-0114:45	365	114.314	157.878	0
46	Pos001CFP-2.tif:0046-0162-0100:46	386	101.083	163.218	0
47	Pos001CFP-2.tif:0047-0175-0080:47	367	81.328	176.031	0
48	Pos001CFP-2.tif:0048-0167-0060:48	288	60.035	166.830	0
49	Pos001CFP-2.tif:0049-0143-0058:49	376	59.064	144.213	0
50	Pos001CFP-2.tif:0050-0134-0049:50	395	50.065	134.872	0
51	Pos001CFP-2.tif:0051-0129-0057:51	375	58.255	128.119	0
52	Pos001CFP-2.tif:0052-0123-0055:52	325	56.177	122.420	0
53	Pos001CFP-2.tif:0053-0118-0057:53	344	58.221	118.090	0
54	Pos001CFP-2.tif:0054-0112-0062:54	381	62.844	112.083	0
55	Pos001CFP-2.tif:0055-0110-0059:55	378	59.759	110.003	0
56	Pos001CFP-2.tif:0056-0107-0054:56	392	54.949	107.439	0
57	Pos001CFP-2.tif:0057-0102-0051:57	362	52.483	102.950	0
58	Pos001CFP-2.tif:0058-0100-0051:58	360	51.461	101.311	0
59	Pos001CFP-2.tif:0059-0107-0048:59	341	49.022	106.743	0
60	Pos001CFP-2.tif:0060-0121-0045:60	329	45.157	121.023	0
61	Pos001CFP-2.tif:0061-0136-0033:61	288	33.646	136.069	0
62	Pos001CFP-2.tif:0062-0154-0024:62	293	23.718	153.961	0
63	Pos001CFP-2.tif:0063-0164-0014:63	262	13.931	163.718	0
